time,close
2018-03-01,12186000
2018-03-02,12444000
2018-03-03,12799000
2018-03-04,12571000
2018-03-05,12682000
2018-03-06,12000000
2018-03-07,11147000
2018-03-08,10465000
2018-03-09,10396000
2018-03-10,9892000
2018-03-11,10493000
2018-03-12,10205000
2018-03-13,10139000
2018-03-14,9141000
2018-03-15,9100000
2018-03-16,9050000
2018-03-17,8653000
2018-03-18,8989000
2018-03-19,9708000
2018-03-20,9829000
2018-03-21,9905000
2018-03-22,9771000
2018-03-23,9861000
2018-03-24,9560000
2018-03-25,9466000
2018-03-26,9045000
2018-03-27,8638000
2018-03-28,8719000
2018-03-29,7884000
2018-03-30,7594000
2018-03-31,7682000
2018-04-01,7476000
2018-04-02,7704000
2018-04-03,8095000
2018-04-04,7503000
2018-04-05,7395000
2018-04-06,7266000
2018-04-07,7524000
2018-04-08,7609000
2018-04-09,7443000
2018-04-10,7405000
2018-04-11,7428000
2018-04-12,8130000
2018-04-13,8373000
2018-04-14,8340000
2018-04-15,8647000
2018-04-16,8652000
2018-04-17,8464000
2018-04-18,8648000
2018-04-19,8986000
2018-04-20,9561000
2018-04-21,9715000
2018-04-22,9594000
2018-04-23,9757000
2018-04-24,10542000
2018-04-25,9804000
2018-04-26,10128000
2018-04-27,9816000
2018-04-28,10043000
2018-04-29,10206000
2018-04-30,10119000
2018-05-01,9888000
2018-05-02,10032000
2018-05-03,10673000
2018-05-04,10662000
2018-05-05,10830000
2018-05-06,10690000
2018-05-07,10437000
2018-05-08,10233000
2018-05-09,10391000
2018-05-10,9990000
2018-05-11,9252000
2018-05-12,9491000
2018-05-13,9807000
2018-05-14,9790000
2018-05-15,9511000
2018-05-16,9303000
2018-05-17,9087000
2018-05-18,9169000
2018-05-19,9100000
2018-05-20,9373000
2018-05-21,9331000
2018-05-22,8949000
2018-05-23,8485000
2018-05-24,8399000
2018-05-25,8320000
2018-05-26,8164000
2018-05-27,8175000
2018-05-28,7893000
2018-05-29,8307000
2018-05-30,8200000
2018-05-31,8274000
2018-06-01,8279000
2018-06-02,8329000
2018-06-03,8418000
2018-06-04,8251000
2018-06-05,8349000
2018-06-06,8353000
2018-06-07,8366000
2018-06-08,8337000
2018-06-09,8240000
2018-06-10,7583000
2018-06-11,7640000
2018-06-12,7349000
2018-06-13,7030000
2018-06-14,7360000
2018-06-15,7293000
2018-06-16,7270000
2018-06-17,7213000
2018-06-18,7449000
2018-06-19,7504000
2018-06-20,7469000
2018-06-21,7476000
2018-06-22,6909000
2018-06-23,7015000
2018-06-24,6978000
